юбил`ею Алекс`ея	Росс`ийская госуд`арственная библиот`ека посвящ`ает сво`ю в`ыставку юбил`ею 
Алекс`ея Суворина	Росс`ийская госуд`арственная библиот`ека посвящ`ает сво`ю в`ыставку юбил`ею Алекс`ея 
дня рожд`ения	В`ыставка посвящен`а 170-летию со дня 
рожд`ения Алекс`ея	В`ыставка посвящен`а 170-летию со дня рожд`ения 
Алекс`ея Серг`еевича	В`ыставка посвящен`а 170-летию со дня рожд`ения Алекс`ея 
Серг`еевича Суворина	В`ыставка посвящен`а 170-летию со дня рожд`ения Алекс`ея Серг`еевича 
произвед`ения Баратынского	Он од`ин из п`ервых издав`ал произвед`ения 
дня см`ерти	Одн`им из с`амых знач`ительных соб`ытий ст`ало изд`ание к 50-летию со дня 
см`ерти Алекс`андра	Одн`им из с`амых знач`ительных соб`ытий ст`ало изд`ание к 50-летию со дня см`ерти 
Алекс`андра Серг`еевича	Одн`им из с`амых знач`ительных соб`ытий ст`ало изд`ание к 50-летию со дня см`ерти Алекс`андра 
Серг`еевича П`ушкина	Одн`им из с`амых знач`ительных соб`ытий ст`ало изд`ание к 50-летию со дня см`ерти Алекс`андра Серг`еевича 
собр`ания сочин`ений	Одн`им из с`амых знач`ительных соб`ытий ст`ало изд`ание к 50-летию со дня см`ерти Алекс`андра Серг`еевича П`ушкина 10-томного собр`ания 
т`ысяч экземпл`яров	Одн`им из с`амых знач`ительных соб`ытий ст`ало изд`ание к 50-летию со дня см`ерти Алекс`андра Серг`еевича П`ушкина 10-томного собр`ания сочин`ений вел`икого по`эта тираж`ом 100 т`ысяч 
Ист`ория Екатер`ины	Ос`обое пристр`астие Суворин им`ел к произвед`ениям по ист`ории своег`о от`ечества и на в`ыставке б`удут предст`авлены так`ие альб`омы как Ист`ория 
Г`ордость изд`ателя	Г`ордость 
изд`ателя Суворина	Г`ордость изд`ателя 
